1 9397 	,
418 38 	point
419 38 	themselves
420 38 	real
421 38 	means
422 38 	Steele
423 38 	fortune
424 38 	door
425 38 	hours
426 38 	yourself
427 37 	satisfaction
428 37 	head
429 37 	settled
430 37 	conduct
431 37 	through
432 37 	coming
433 37 	wonder
434 37 	silent
435 37 	sat
436 37 	object
437 36 	case
438 36 	Margaret
439 36 	living
440 36 	girl
441 36 	pretty
442 36 	ask
443 36 	live
444 36 	months
445 36 	Dashwoods
446 36 	dare
447 36 	open
448 35 	arrival
449 35 	spite
450 35 	common
451 35 	hour
452 35 	London
453 35 	appeared
454 35 	call
455 35 	ready
456 35 	impossible
457 35 	night
458 35 	son
459 35 	spoke
460 34 	Robert
461 34 	week
462 34 	attachment
463 34 	particularly
464 34 	either
465 34 	character
466 34 	sorry
467 34 	ought
468 34 	manners
469 34 	Your
470 34 	gone
471 34 	four
472 33 	ladies
473 33 	afterwards
474 33 	children
475 33 	sake
476 33 	deal
477 33 	answer
478 33 	At
479 33 	Their
480 33 	care
481 33 	set
482 33 	country
483 32 	assure
484 32 	talked
485 32 	near
486 32 	silence
487 32 	ma
488 32 	There
489 32 	invitation
490 32 	law
491 32 	certain
492 32 	alone
493 32 	right
494 32 	nature
495 31 	pleased
496 31 	convinced
497 31 	fancy
498 31 	different
499 31 	get
500 31 	new
501 31 	keep
502 31 	whatever
503 31 	five
504 31 	confidence
505 31 	sense
506 31 	former
507 31 	instantly
508 30 	table
509 30 	happened
510 30 	Delaford
511 30 	wanted
512 30 	usual
513 30 	judgment
514 30 	comfortable
515 30 	park
516 30 	wishes
517 30 	father
518 30 	stay
519 30 	(
520 30 	Is
521 30 	Steeles
522 30 	full
523 30 	course
524 30 	natural
525 30 	believed
526 29 	necessary
527 29 	Lord
528 29 	HER
529 29 	easily
530 29 	circumstances
531 29 	anxious
532 29 	remained
533 29 	change
534 29 	taken
535 29 	kept
536 29 	doing
537 29 	marry
538 29 	walked
539 29 	self
540 29 	company
541 29 	small
542 28 	words
543 28 	question
544 28 	greatest
545 28 	repeated
546 28 	resolved
547 28 	appearance
548 28 	knowledge
549 28 	Poor
550 28 	countenance
551 28 	likely
552 28 	affair
553 28 	strong
554 28 	gentleman
555 28 	opportunity
556 28 	drawing
557 28 	For
558 28 	future
559 28 	feeling
560 27 	daughters
561 27 	expect
562 27 	taste
563 27 	considered
564 27 	bed
565 27 	talking
566 27 	hearing
567 27 	got
568 27 	misery
569 27 	declared
570 27 	favour
571 27 	round
572 27 	suffered
573 27 	exactly
574 27 	So
575 27 	notice
576 27 	concern
577 27 	Cleveland
578 27 	past
579 27 	handsome
580 27 	turned
581 26 	fear
582 26 	Devonshire
583 26 	YOU
584 26 	distress
585 26 	expectation
586 26 	state
587 26 	resolution
588 26 	exceedingly
589 26 	occasion
590 26 	understand
591 26 	acquainted
592 26 	money
593 26 	low
594 26 	satisfied
595 26 	truth
596 26 	produced
597 26 	likewise
598 26 	let
599 26 	large
600 26 	best
601 26 	assured
602 25 	why
603 25 	advantage
604 25 	otherwise
605 25 	favourite
